district,month,hour,day_of_week,risk_score,risk_level
7,7,7,0,0.3821,Low
20,12,18,1,0.3698,Low
15,7,6,2,0.8263,High
11,7,18,2,0.4955,Medium
8,3,11,4,0.4064,Medium
21,9,2,1,0.7,High
7,6,3,5,0.7131,High
19,11,1,1,0.516,Medium
23,12,6,3,0.2586,Low
11,11,21,2,0.4357,Medium
11,10,2,6,0.6361,Medium
24,11,0,0,0.6764,High
21,8,11,1,0.5692,Medium
4,1,18,6,0.6053,Medium
8,4,19,3,0.4857,Medium
24,7,16,2,0.3612,Low
3,12,23,0,0.6355,Medium
22,9,17,3,0.4795,Medium
21,12,2,1,0.6362,Medium
2,3,12,0,0.5703,Medium
24,12,4,6,0.3616,Low
12,11,21,6,0.6428,Medium
6,12,18,0,0.8341,High
2,6,18,4,0.928,High
21,8,7,3,0.6285,Medium
1,11,19,0,0.948,High
12,3,15,1,0.2808,Low
22,6,4,0,0.3233,Low
12,9,3,4,0.4705,Medium
25,9,15,4,0.3417,Low
17,6,23,6,0.6596,High
10,5,13,6,0.6354,Medium
16,1,12,0,0.2314,Low
15,3,22,2,0.7832,High
15,3,19,0,0.7052,High
19,12,7,4,0.333,Low
12,4,23,4,0.5729,Medium
23,5,17,6,0.4701,Medium
20,11,4,1,0.336,Low
25,8,5,1,0.3972,Low
3,11,5,2,0.5497,Medium
5,9,19,1,0.4455,Medium
19,12,22,5,0.679,High
7,7,20,5,0.5504,Medium
21,10,21,0,0.6052,Medium
9,6,16,0,0.6719,High
7,3,22,5,0.5081,Medium
18,9,15,4,0.4228,Medium
4,10,4,6,0.4917,Medium
25,1,19,0,0.2601,Low
14,9,2,4,0.5043,Medium
18,3,0,0,0.4372,Medium
9,9,4,0,0.6273,Medium
21,10,2,0,0.8485,High
2,1,23,0,0.8099,High
20,8,15,1,0.3703,Low
15,6,15,1,0.6825,High
7,9,3,4,0.4575,Medium
12,4,2,3,0.5025,Medium
8,12,11,0,0.4833,Medium
15,5,16,4,0.7015,High
3,6,11,6,0.5725,Medium
14,12,9,4,0.3726,Low
17,9,1,6,0.5435,Medium
4,6,9,0,0.5131,Medium
18,9,1,0,0.424,Medium
8,2,16,5,0.4865,Medium
4,4,23,6,0.7054,High
2,3,4,4,0.5403,Medium
6,4,1,4,0.9001,High
22,1,23,1,0.5306,Medium
10,2,13,1,0.5277,Medium
4,4,9,0,0.3637,Low
22,10,14,6,0.4006,Medium
18,4,4,5,0.3543,Low
12,5,13,4,0.3057,Low
2,9,20,0,0.8166,High
10,1,17,2,0.7046,High
4,8,23,5,0.8045,High
14,3,12,6,0.3811,Low
16,9,12,0,0.1906,Low
15,11,2,5,0.9619,High
8,8,3,0,0.7064,High
14,8,4,4,0.3235,Low
23,9,9,4,0.237,Low
25,4,1,6,0.6483,Medium
8,12,23,5,0.6673,High
21,5,20,1,0.4087,Medium
16,12,8,6,0.4492,Medium
13,7,8,3,0.5809,Medium
18,2,9,0,0.2464,Low
15,7,11,1,0.7281,High
21,12,14,6,0.4965,Medium
24,3,2,2,0.5898,Medium
25,6,8,0,0.3539,Low
13,6,6,5,0.6741,High
9,6,22,5,1.0,High
15,10,15,6,0.7336,High
13,2,23,3,0.554,Medium
1,9,3,5,0.9488,High
25,8,13,2,0.2826,Low
7,7,4,0,0.3377,Low
9,11,15,4,0.7808,High
24,12,21,3,0.4309,Medium
1,12,19,5,0.9657,High
12,9,13,4,0.2238,Low
8,4,12,5,0.5171,Medium
24,2,23,2,0.4181,Medium
11,4,13,1,0.2576,Low
19,12,4,4,0.3,Low
17,10,18,3,0.456,Medium
8,11,16,4,0.4483,Medium
3,3,0,1,0.642,Medium
3,2,23,0,0.5677,Medium
1,2,18,5,0.7094,High
5,8,10,1,0.5867,Medium
10,5,9,2,0.6518,High
7,12,3,0,0.5698,Medium
9,6,22,4,0.9955,High
7,8,16,4,0.4115,Medium
9,7,21,5,0.8398,High
8,7,16,6,0.549,Medium
12,12,15,1,0.3112,Low
2,7,18,0,0.8131,High
1,12,19,1,0.8593,High
16,11,13,0,0.2763,Low
23,11,22,1,0.6492,Medium
23,7,15,5,0.3932,Low
24,8,1,3,0.663,High
5,1,7,3,0.4162,Medium
3,3,5,0,0.3693,Low
12,1,9,5,0.3692,Low
8,8,1,0,0.6463,Medium
22,2,18,1,0.3291,Low
3,7,3,3,0.7227,High
1,6,5,1,0.7259,High
3,11,12,4,0.3387,Low
5,1,0,0,0.614,Medium
15,12,4,3,0.6424,Medium
14,6,23,4,0.5523,Medium
3,9,6,0,0.4018,Medium
1,3,13,3,0.6221,Medium
5,12,18,4,0.6268,Medium
23,7,10,1,0.2201,Low
14,4,17,1,0.4166,Medium
7,1,17,3,0.3788,Low
9,7,20,6,0.9575,High
15,1,23,2,0.7869,High
15,11,5,2,0.7344,High
10,4,5,0,0.6156,Medium
13,9,6,0,0.4876,Medium
19,5,16,5,0.2899,Low
7,7,18,5,0.5302,Medium
17,7,4,5,0.4477,Medium
20,12,6,4,0.3088,Low
4,3,5,6,0.5201,Medium
5,11,16,4,0.4745,Medium
23,8,18,6,0.5454,Medium
7,1,11,5,0.2693,Low
13,4,6,1,0.3539,Low
15,10,11,2,0.651,High
11,4,16,0,0.3577,Low
4,2,14,5,0.41,Medium
13,6,15,2,0.4686,Medium
7,1,0,4,0.4152,Medium
19,3,10,2,0.2875,Low
22,9,0,1,0.6465,Medium
2,12,12,0,0.689,High
10,10,19,1,0.7714,High
13,6,16,0,0.577,Medium
25,2,15,1,0.15,Low
21,12,16,4,0.3811,Low
6,12,13,6,0.662,High
12,9,23,3,0.4495,Medium
12,2,4,5,0.3471,Low
20,12,12,1,0.2352,Low
11,7,17,1,0.3741,Low
23,1,6,5,0.2192,Low
25,5,16,6,0.3519,Low
7,7,10,2,0.2468,Low
1,3,16,4,0.6362,Medium
1,4,18,3,0.7167,High
25,5,5,3,0.337,Low
25,3,19,0,0.4473,Medium
20,6,17,6,0.5748,Medium
13,3,20,0,0.4771,Medium
9,8,9,3,0.6726,High
3,7,0,3,0.7153,High
7,1,0,5,0.5063,Medium
6,2,14,4,0.6417,Medium
8,4,5,3,0.4378,Medium
9,5,6,0,0.597,Medium
5,11,9,0,0.6385,Medium
1,10,3,2,0.9446,High
19,11,13,3,0.3761,Low
10,4,7,4,0.7632,High
12,4,0,5,0.633,Medium
24,9,20,1,0.4465,Medium
15,4,1,0,0.9049,High
22,4,18,1,0.4161,Medium
24,4,9,0,0.3225,Low
9,2,3,4,0.7049,High
20,8,16,1,0.3075,Low
17,4,15,2,0.2671,Low
17,5,4,5,0.3678,Low
20,8,9,4,0.374,Low
12,4,21,0,0.5634,Medium
7,5,10,3,0.3172,Low
2,5,0,5,0.9548,High
3,6,12,1,0.4133,Medium
17,7,19,3,0.4966,Medium
5,3,1,6,0.7707,High
17,10,0,0,0.5944,Medium
24,11,13,1,0.342,Low
17,3,20,1,0.4106,Medium
17,9,11,6,0.2978,Low
2,1,10,5,0.545,Medium
2,10,0,6,1.0,High
22,12,13,1,0.2098,Low
23,8,7,6,0.442,Medium
5,10,17,4,0.6652,High
1,3,4,4,0.4966,Medium
1,5,2,6,1.0,High
19,3,21,4,0.4902,Medium
2,10,5,4,0.6098,Medium
21,1,23,5,0.6506,High
12,10,20,0,0.5574,Medium
6,5,4,6,0.6886,High
23,8,20,2,0.56,Medium
4,5,1,0,0.7616,High
23,4,2,6,0.5402,Medium
11,9,3,5,0.618,Medium
24,1,22,1,0.3778,Low
17,5,0,6,0.5621,Medium
6,1,15,4,0.5541,Medium
24,6,18,5,0.5788,Medium
5,10,22,1,0.699,High
20,9,7,4,0.3558,Low
2,11,1,3,0.8619,High
6,2,2,3,0.7471,High
22,4,13,4,0.3343,Low
11,8,6,3,0.3021,Low
16,3,12,5,0.3563,Low
16,7,6,4,0.4481,Medium
1,12,15,2,0.6189,Medium
9,7,2,1,1.0,High
6,2,4,0,0.4687,Medium
16,12,22,0,0.4846,Medium
3,10,2,5,0.8333,High
20,4,23,0,0.4581,Medium
4,1,14,4,0.3222,Low
19,8,19,4,0.5087,Medium
3,10,10,5,0.5801,Medium
19,10,22,2,0.5812,Medium
20,9,17,4,0.3101,Low
7,1,4,5,0.2312,Low
20,11,21,5,0.4859,Medium
9,7,12,6,0.7655,High
1,1,0,0,0.7976,High
8,12,13,3,0.4124,Medium
7,1,8,1,0.1934,Low
18,9,8,4,0.2196,Low
8,10,3,0,0.8357,High
1,10,20,1,0.8512,High
11,6,1,6,0.6512,High
25,1,15,1,0.196,Low
25,7,4,4,0.2695,Low
18,3,19,6,0.5673,Medium
23,10,17,5,0.5271,Medium
10,4,1,4,0.8632,High
3,4,13,4,0.4491,Medium
7,8,14,5,0.463,Medium
16,1,9,2,0.2486,Low
16,8,15,5,0.3581,Low
25,9,7,0,0.3559,Low
20,11,23,4,0.651,High
17,7,23,5,0.7404,High
2,1,20,1,0.7326,High
1,7,13,2,0.8257,High
16,6,19,0,0.5089,Medium
12,5,9,3,0.332,Low
5,5,12,4,0.4938,Medium
5,1,18,5,0.6667,High
23,6,1,4,0.6833,High
9,4,4,3,0.6152,Medium
9,1,13,4,0.5958,Medium
3,12,23,5,0.8038,High
19,8,20,5,0.5737,Medium
16,8,22,0,0.5491,Medium
16,12,20,2,0.3598,Low
3,11,23,5,0.8426,High
20,4,7,1,0.3726,Low
24,7,0,3,0.5725,Medium
22,3,4,6,0.2941,Low
24,8,10,0,0.3191,Low
1,7,7,0,0.759,High
24,5,16,3,0.3168,Low
20,5,9,2,0.3424,Low
11,9,13,6,0.3404,Low
17,6,0,2,0.6834,High
8,6,4,1,0.6634,High
4,2,14,1,0.3507,Low
6,11,9,1,0.8464,High
8,5,14,6,0.4488,Medium
20,12,0,2,0.5886,Medium
3,4,23,4,0.6206,Medium
16,10,10,6,0.3988,Low
25,3,17,4,0.4176,Medium
3,9,5,5,0.3746,Low
25,11,1,4,0.4906,Medium
18,12,1,3,0.469,Medium
14,7,16,3,0.4294,Medium
18,4,21,3,0.4056,Medium
2,9,4,3,0.6749,High
22,9,19,2,0.3213,Low
3,12,13,3,0.4416,Medium
16,7,11,1,0.3764,Low
9,5,3,3,0.8124,High
4,9,8,0,0.5817,Medium
1,7,17,4,0.7746,High
4,9,9,0,0.4554,Medium
1,11,6,0,0.8473,High
14,3,4,5,0.2829,Low
21,11,14,1,0.4627,Medium
16,9,12,2,0.2793,Low
20,1,13,1,0.1203,Low
24,5,3,6,0.621,Medium
8,2,5,2,0.2432,Low
7,1,14,1,0.2001,Low
3,3,12,2,0.5068,Medium
17,7,12,3,0.3884,Low
1,3,17,1,0.7675,High
16,10,16,0,0.3307,Low
12,10,0,6,0.6649,High
19,11,3,1,0.5828,Medium
22,9,10,0,0.2939,Low
23,3,18,2,0.4587,Medium
22,11,12,3,0.3586,Low
14,6,15,3,0.3921,Low
6,2,18,3,0.7308,High
6,8,14,0,0.6252,Medium
13,10,11,4,0.3599,Low
19,5,22,4,0.5303,Medium
22,2,7,1,0.223,Low
8,7,21,4,0.6622,High
2,3,0,4,0.9703,High
21,5,21,4,0.5539,Medium
1,11,7,4,0.7686,High
15,9,4,0,0.5693,Medium
1,1,23,3,0.8295,High
5,2,0,2,0.5531,Medium
16,5,11,0,0.33,Low
19,4,3,6,0.5974,Medium
4,1,14,6,0.4113,Medium
3,7,8,6,0.5217,Medium
17,9,9,4,0.2376,Low
17,1,20,4,0.3848,Low
12,8,12,0,0.4198,Medium
14,9,9,2,0.3345,Low
21,2,9,3,0.3863,Low
6,1,13,4,0.5529,Medium
3,6,18,1,0.6414,Medium
9,7,18,5,0.8778,High
5,2,0,2,0.5189,Medium
24,5,21,5,0.4095,Medium
17,5,21,5,0.4488,Medium
14,7,23,4,0.6055,Medium
21,12,7,1,0.3903,Low
3,11,16,6,0.5656,Medium
1,1,22,0,0.7549,High
20,10,9,3,0.2997,Low
21,8,0,1,0.7115,High
23,5,7,4,0.3342,Low
1,12,4,1,0.5821,Medium
3,3,1,0,0.7586,High
18,9,18,5,0.5274,Medium
25,11,1,4,0.6633,High
10,3,19,6,1.0,High
22,7,22,5,0.6357,Medium
3,10,23,2,0.664,High
8,12,10,1,0.3729,Low
14,7,2,2,0.604,Medium
24,10,8,0,0.4235,Medium
18,12,7,1,0.3311,Low
15,8,5,3,0.6732,High
22,10,13,0,0.3748,Low
23,8,7,1,0.4685,Medium
2,4,14,1,0.5748,Medium
10,1,23,3,0.7442,High
2,4,2,6,1.0,High
17,6,22,5,0.6025,Medium
8,10,7,6,0.6708,High
1,11,21,5,0.9082,High
9,6,15,1,0.7892,High
11,6,5,1,0.3326,Low
22,12,6,6,0.3639,Low
16,7,12,2,0.2712,Low
7,12,19,2,0.3793,Low
10,11,8,4,0.7648,High
23,1,18,1,0.31,Low
3,10,6,0,0.4228,Medium
18,1,15,6,0.3975,Low
25,7,23,0,0.5988,Medium
24,12,6,1,0.3388,Low
13,4,14,6,0.6044,Medium
7,6,4,5,0.3886,Low
25,6,1,6,0.6649,High
